block_label,bin_left,bin_right,bin_center,density,sine_kernel
gate0_default,4.3500000000000005,4.4,4.375,1.062,0.9954817024085242
gate0_default,4.4,4.45,4.425000000000001,1.046,0.9951074335138396
gate0_default,4.45,4.5,4.475,0.968,0.9949715692923149
gate0_default,4.5,4.55,4.525,1.044,0.9950820808795537
gate0_default,4.55,4.6000000000000005,4.575,1.038,0.9954229981353603
gate0_default,4.6000000000000005,4.65,4.625,1.05,0.995956965266941
gate0_default,4.65,4.7,4.675000000000001,1.004,0.9966296997125837
gate0_default,4.7,4.75,4.725,1.02,0.997375856021888
gate0_default,4.75,4.800000000000001,4.775,0.968,0.998125686061632
gate0_default,4.800000000000001,4.8500000000000005,4.825000000000001,1.076,0.9988118375506166
gate0_default,4.8500000000000005,4.9,4.875,0.95,0.9993756468089732
gate0_default,4.9,4.95,4.925000000000001,0.892,0.9997723549078095
gate0_default,4.95,5.0,4.975,1.016,0.9999747999918487
