block_label,bin_left,bin_right,bin_center,density,sine_kernel
block_1e21_10k,4.0,4.05,4.025,1.022,0.9999615005006443
block_1e21_10k,4.05,4.1000000000000005,4.075,0.966,0.9996674817124159
block_1e21_10k,4.1000000000000005,4.15,4.125,1.094,0.9991279695100534
block_1e21_10k,4.15,4.2,4.175000000000001,1.044,0.9984130709929693
block_1e21_10k,4.2,4.25,4.225,0.964,0.997605936529337
block_1e21_10k,4.25,4.3,4.275,0.976,0.996794328270506
block_1e21_10k,4.3,4.3500000000000005,4.325,0.966,0.9960621460539724
block_1e21_10k,4.3500000000000005,4.4,4.375,0.932,0.9954817024085242
block_1e21_10k,4.4,4.45,4.425000000000001,1.064,0.9951074335138396
block_1e21_10k,4.45,4.5,4.475,1.026,0.9949715692923149
block_1e21_10k,4.5,4.55,4.525,1.066,0.9950820808795537
block_1e21_10k,4.55,4.6000000000000005,4.575,0.986,0.9954229981353603
block_1e21_10k,4.6000000000000005,4.65,4.625,0.996,0.995956965266941
block_1e21_10k,4.65,4.7,4.675000000000001,1.024,0.9966296997125837
block_1e21_10k,4.7,4.75,4.725,0.986,0.997375856021888
block_1e21_10k,4.75,4.800000000000001,4.775,0.892,0.998125686061632
block_1e21_10k,4.800000000000001,4.8500000000000005,4.825000000000001,0.982,0.9988118375506166
block_1e21_10k,4.8500000000000005,4.9,4.875,1.034,0.9993756468089732
block_1e21_10k,4.9,4.95,4.925000000000001,1.03,0.9997723549078095
block_1e21_10k,4.95,5.0,4.975,0.99,0.9999747999918487
