index,gamma,source,block_label
1000000000179,267653395694.5425283386,odlyzko_block_1e12_10k,block_1e12_10k
1000000000180,267653395694.9376964809,odlyzko_block_1e12_10k,block_1e12_10k
1000000000181,267653395695.2063568542,odlyzko_block_1e12_10k,block_1e12_10k
1000000000182,267653395695.4978972933,odlyzko_block_1e12_10k,block_1e12_10k
1000000000183,267653395695.9080138048,odlyzko_block_1e12_10k,block_1e12_10k
1000000000184,267653395696.0085410833,odlyzko_block_1e12_10k,block_1e12_10k
1000000000185,267653395696.4265468397,odlyzko_block_1e12_10k,block_1e12_10k
1000000000186,267653395696.6769346131,odlyzko_block_1e12_10k,block_1e12_10k
1000000000187,267653395696.9430045315,odlyzko_block_1e12_10k,block_1e12_10k
1000000000188,267653395697.1291908293,odlyzko_block_1e12_10k,block_1e12_10k
1000000000189,267653395697.3530595976,odlyzko_block_1e12_10k,block_1e12_10k
1000000000190,267653395697.4113612508,odlyzko_block_1e12_10k,block_1e12_10k
1000000000191,267653395697.9039797861,odlyzko_block_1e12_10k,block_1e12_10k
1000000000192,267653395698.0728082646,odlyzko_block_1e12_10k,block_1e12_10k
1000000000193,267653395698.2193278400,odlyzko_block_1e12_10k,block_1e12_10k
1000000000194,267653395698.5731740341,odlyzko_block_1e12_10k,block_1e12_10k
1000000000195,267653395698.7048026395,odlyzko_block_1e12_10k,block_1e12_10k
1000000000196,267653395698.9031870624,odlyzko_block_1e12_10k,block_1e12_10k
1000000000197,267653395699.2491039016,odlyzko_block_1e12_10k,block_1e12_10k
1000000000198,267653395699.5066562368,odlyzko_block_1e12_10k,block_1e12_10k
1000000000199,267653395699.8296288357,odlyzko_block_1e12_10k,block_1e12_10k
1000000000200,267653395700.1194564368,odlyzko_block_1e12_10k,block_1e12_10k
1000000000201,267653395700.3736682693,odlyzko_block_1e12_10k,block_1e12_10k
1000000000202,267653395700.6868558545,odlyzko_block_1e12_10k,block_1e12_10k
1000000000203,267653395700.7811702018,odlyzko_block_1e12_10k,block_1e12_10k
1000000000204,267653395701.0474201023,odlyzko_block_1e12_10k,block_1e12_10k
1000000000205,267653395701.3396641852,odlyzko_block_1e12_10k,block_1e12_10k
1000000000206,267653395701.5696004178,odlyzko_block_1e12_10k,block_1e12_10k
1000000000207,267653395701.9211741679,odlyzko_block_1e12_10k,block_1e12_10k
1000000000208,267653395702.1220738207,odlyzko_block_1e12_10k,block_1e12_10k
1000000000209,267653395702.3479025426,odlyzko_block_1e12_10k,block_1e12_10k
1000000000210,267653395702.5252816857,odlyzko_block_1e12_10k,block_1e12_10k
1000000000211,267653395702.8231896037,odlyzko_block_1e12_10k,block_1e12_10k
1000000000212,267653395703.0704392223,odlyzko_block_1e12_10k,block_1e12_10k
1000000000213,267653395703.3890751210,odlyzko_block_1e12_10k,block_1e12_10k
1000000000214,267653395703.8795155531,odlyzko_block_1e12_10k,block_1e12_10k
1000000000215,267653395704.0596701070,odlyzko_block_1e12_10k,block_1e12_10k
1000000000216,267653395704.2312343867,odlyzko_block_1e12_10k,block_1e12_10k
1000000000217,267653395704.5095447091,odlyzko_block_1e12_10k,block_1e12_10k
1000000000218,267653395704.6705416290,odlyzko_block_1e12_10k,block_1e12_10k
1000000000219,267653395704.9578367592,odlyzko_block_1e12_10k,block_1e12_10k
1000000000220,267653395705.1627457754,odlyzko_block_1e12_10k,block_1e12_10k
1000000000221,267653395705.5035891696,odlyzko_block_1e12_10k,block_1e12_10k
1000000000222,267653395705.8110589982,odlyzko_block_1e12_10k,block_1e12_10k
1000000000223,267653395705.9719358427,odlyzko_block_1e12_10k,block_1e12_10k
1000000000224,267653395706.2339308691,odlyzko_block_1e12_10k,block_1e12_10k
1000000000225,267653395706.4613990146,odlyzko_block_1e12_10k,block_1e12_10k
1000000000226,267653395706.8497837361,odlyzko_block_1e12_10k,block_1e12_10k
1000000000227,267653395707.0218786591,odlyzko_block_1e12_10k,block_1e12_10k
1000000000228,267653395707.4263884084,odlyzko_block_1e12_10k,block_1e12_10k
1000000000229,267653395707.6672132137,odlyzko_block_1e12_10k,block_1e12_10k
1000000000230,267653395707.8404139705,odlyzko_block_1e12_10k,block_1e12_10k
1000000000231,267653395708.1774294987,odlyzko_block_1e12_10k,block_1e12_10k
1000000000232,267653395708.3419489741,odlyzko_block_1e12_10k,block_1e12_10k
1000000000233,267653395708.6660474902,odlyzko_block_1e12_10k,block_1e12_10k
1000000000234,267653395708.7598483990,odlyzko_block_1e12_10k,block_1e12_10k
1000000000235,267653395709.0172364904,odlyzko_block_1e12_10k,block_1e12_10k
1000000000236,267653395709.2168937567,odlyzko_block_1e12_10k,block_1e12_10k
1000000000237,267653395709.5775131129,odlyzko_block_1e12_10k,block_1e12_10k
1000000000238,267653395709.7402539570,odlyzko_block_1e12_10k,block_1e12_10k
1000000000239,267653395710.0541536586,odlyzko_block_1e12_10k,block_1e12_10k
